Index,AAPL.Open,AAPL.High,AAPL.Low,AAPL.Close,AAPL.Volume,AAPL.Adjusted,K.Open,K.High,K.Low,K.Close,K.Volume,K.Adjusted,after.covid,after.war
01/01/2017,28.950001,30.610001,28.690001,30.3375,2252488000,28.348085,73.709999,73.730003,71.050003,72.709999,32533900,58.539185,NO,NO
01/02/2017,31.7575,34.369999,31.752501,34.247501,2299874400,32.001675,72.309998,76.690002,71.449997,74.07,42027700,59.634117,NO,NO
01/03/2017,34.4725,36.125,34.262501,35.915001,2246513600,33.70533,74.07,75.309998,72.199997,72.610001,54137200,58.865555,NO,NO
01/04/2017,35.927502,36.365002,35.014999,35.912498,1493216400,33.70298,72.589996,73.379997,70.57,71,38541400,57.560329,NO,NO
01/05/2017,36.275002,39.162498,36.067501,38.189999,2615927200,35.840355,71.089996,73.43,68.669998,71.599998,59490200,58.046738,NO,NO
01/06/2017,38.2925,38.994999,35.549999,36.005001,2736712400,33.929256,71.889999,74.279999,68.559998,69.459999,43896200,56.717957,NO,NO
01/07/2017,36.220001,38.497501,35.602501,37.182499,1688047600,35.038876,69.580002,69.580002,65.32,68,44290000,55.52578,NO,NO
01/08/2017,37.275002,41.130001,37.102501,41,2644276000,38.636288,67.959999,71.650002,65.160004,65.459999,49412600,53.45174,NO,NO
01/09/2017,41.200001,41.235001,37.290001,38.529999,2721496400,36.451275,65.470001,69.220001,62.110001,62.369999,61350000,51.346779,NO,NO
01/10/2017,38.564999,42.412498,38.115002,42.259998,2017165200,39.980042,62.220001,63.93,58.759998,62.529999,81570200,51.478504,NO,NO
01/11/2017,42.467499,44.060001,41.32,42.962502,2402653600,40.64465,62.639999,67.739998,60.130001,66.160004,78417800,54.466949,NO,NO
01/12/2017,42.487499,44.299999,41.615002,42.307499,2124735200,40.168869,66.019997,68.709999,64.209999,67.980003,61665600,56.421383,NO,NO
01/01/2018,42.540001,45.025002,41.174999,41.857498,2638717600,39.741596,68.029999,69.209999,64.660004,68.110001,63290200,56.529266,NO,NO
01/02/2018,41.7925,45.154999,37.560001,44.529999,3711577200,42.279011,68,70.290001,62.959999,66.199997,62870700,54.944019,NO,NO
01/03/2018,44.634998,45.875,41.235001,41.945,2854910800,39.987057,66.809998,71.080002,62.950001,65.010002,65455200,53.956371,NO,NO
01/04/2018,41.66,44.735001,40.157501,41.314999,2664617200,39.386459,64.970001,65.529999,58.709999,58.900002,49621000,49.28299,NO,NO
01/05/2018,41.602501,47.592499,41.317501,46.717499,2483905200,44.536774,58.810001,66.269997,56.400002,64.389999,71748300,53.876595,NO,NO
01/06/2018,46.997501,48.549999,45.182499,46.2775,2110498000,44.287434,64.5,70.300003,61.290001,69.870003,62713800,58.944332,NO,NO
01/07/2018,45.955002,48.990002,45.855,47.572498,1574765600,45.526745,69.589996,72.260002,68.699997,71.029999,39996500,59.922932,NO,NO
01/08/2018,49.782501,57.217499,49.327499,56.907501,2801275600,54.46032,71.129997,74.32,66.790001,71.790001,40055300,60.56411,NO,NO
01/09/2018,57.102501,57.4175,53.825001,56.435001,2715888000,54.197548,71.809998,74.980003,69.5,70.019997,29836400,59.535538,NO,NO
01/10/2018,56.987499,58.3675,51.522499,54.715,3158994000,52.545746,70.07,72.980003,64.949997,65.480003,51958700,55.67535,NO,NO
01/11/2018,54.762501,55.59,42.564999,44.645,3845305600,42.874981,65.110001,65.660004,60.880001,63.650002,72960300,54.119354,NO,NO
01/12/2018,46.115002,46.235001,36.647499,39.435001,3595690000,38.003674,63.610001,63.919998,55.110001,57.009998,51183200,48.906601,NO,NO
01/01/2019,38.7225,42.25,35.5,41.610001,3312349600,40.099743,56.779999,59.950001,56.110001,59.009998,45591700,50.62233,NO,NO
01/02/2019,41.740002,43.967499,41.482498,43.287498,1890162400,41.716351,59.209999,59.490002,54.139999,56.259998,75141700,48.26321,NO,NO
01/03/2019,43.57,49.422501,42.375,47.487499,2603925600,45.960182,56.41,57.810001,53.139999,57.380001,52947000,49.224014,NO,NO
01/04/2019,47.91,52.119999,47.095001,50.1675,2024470800,48.553989,57.5,60.459999,55.5,60.299999,44168200,52.243675,NO,NO
01/05/2019,52.470001,53.827499,43.747501,43.767502,2957826400,42.359833,60.27,60.439999,51.34,52.560001,51747700,45.537769,NO,NO
01/06/2019,43.900002,50.392502,42.567501,49.48,2060874800,48.073017,52.560001,57.189999,52.439999,53.57,43216300,46.917225,NO,NO
